symbol,time,open,high,low,close,volume,date,average_sentiment_score,log_sentiment_score
META,2024-08-06 00:00:00-04:00,479.685,502.45,478.91,494.05,401193,2024-08-06 00:00:00.000000,0.9287876561284064,-0.0738751388155311
META,2024-08-07 00:00:00-04:00,503.85,510.05,487.29,489.14,433804,2024-08-07 00:00:00.000000,0.991973865032196,-0.0080585177779924
META,2024-08-08 00:00:00-04:00,496.66,509.95,495.49,509.12,404970,2024-08-08 00:00:00.000000,0.9253187537193298,-0.0776170022146864
META,2024-08-09 00:00:00-04:00,507.48,518.275,506.36,517.68,255571,2024-08-09 00:00:00.000000,0.978624366223812,-0.0216074013733134
META,2024-08-12 00:00:00-04:00,516.85,518.0,509.21,516.08,195014,2024-08-12 00:00:00.000000,0.9418343816484724,-0.0599258355229547
META,2024-08-13 00:00:00-04:00,519.66,531.38,519.66,528.5,335270,2024-08-13 00:00:00.000000,0.96957494531359,-0.0308975042303348
META,2024-08-14 00:00:00-04:00,528.56,533.53,523.25,526.66,187346,2024-08-14 00:00:00.000000,0.9266047392572676,-0.076228191338303
META,2024-08-15 00:00:00-04:00,531.875,539.58,527.0,537.25,483758,2024-08-15 00:00:00.000000,0.9678721598216464,-0.0326552667270336
META,2024-08-16 00:00:00-04:00,531.27,533.44,525.04,527.5,252021,2024-08-16 00:00:00.000000,0.9992862462997436,-0.0007140085436995
META,2024-08-19 00:00:00-04:00,526.88,531.55,523.0,529.29,175362,2024-08-19 00:00:00.000000,0.9993473490079244,-0.0006528640614459
META,2024-08-20 00:00:00-04:00,527.57,531.02,526.03,526.62,148402,2024-08-20 00:00:00.000000,0.999941329161326,-5.8672559874925064e-05
META,2024-08-21 00:00:00-04:00,527.775,539.33,526.935,535.1,265773,2024-08-21 00:00:00.000000,0.9997085531552632,-0.0002914893236221
META,2024-08-22 00:00:00-04:00,536.295,544.22,528.87,532.21,277786,2024-08-22 00:00:00.000000,0.9747234344482422,-0.0256015051987012
META,2024-08-23 00:00:00-04:00,537.585,539.69,525.25,528.0,290414,2024-08-23 00:00:00.000000,0.9953922544206892,-0.0046183939615878
META,2024-08-26 00:00:00-04:00,527.34,527.34,515.0,521.17,190300,2024-08-26 00:00:00.000000,0.952378409249442,-0.0487928344610831
META,2024-08-27 00:00:00-04:00,518.9,523.91,515.46,519.145,149056,2024-08-27 00:00:00.000000,0.8945985555648803,-0.1113802026002971
META,2024-08-28 00:00:00-04:00,517.45,521.0,513.25,516.92,161264,2024-08-28 00:00:00.000000,0.99243625998497,-0.0075924901607038
META,2024-08-29 00:00:00-04:00,519.05,526.985,516.0,518.48,327783,2024-08-29 00:00:00.000000,0.9316562175750732,-0.0707913976068679
META,2024-08-30 00:00:00-04:00,522.43,523.225,515.48,521.42,153422,2024-08-30 00:00:00.000000,0.9888805945714316,-0.0111816881453361
BRK.B,2024-08-05 00:00:00-04:00,414.68,417.65,407.305,413.55,169094,2024-08-05 00:00:00.000000,,
BRK.B,2024-08-06 00:00:00-04:00,416.09,427.29,415.41,421.87,104743,2024-08-06 00:00:00.000000,,
BRK.B,2024-08-07 00:00:00-04:00,426.0,432.98,426.0,426.94,90484,2024-08-07 00:00:00.000000,,
BRK.B,2024-08-08 00:00:00-04:00,428.81,431.975,427.9,431.62,102279,2024-08-08 00:00:00.000000,,
BRK.B,2024-08-09 00:00:00-04:00,432.13,434.44,430.52,431.77,52504,2024-08-09 00:00:00.000000,,
BRK.B,2024-08-12 00:00:00-04:00,434.16,434.16,429.29,430.42,49897,2024-08-12 00:00:00.000000,,
